,Name,Latitude,Longitude,Zip_Code,Borough,geometry_layer,wkt
39,141.155.180.34 ,40.63272858,-74.09506989,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.09506989 40.63272858 0)
40,141.155.9.21 ,40.64044952,-74.07566071,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.07566071 40.64044952 0)
41,141.155.9.62 ,40.63404083,-74.07663727,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.07663727 40.63404083 0)
42,151.202.110.120 ,40.63800812,-74.08818817,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.08818817 40.63800812 0)
43,151.202.110.98 ,40.62472916,-74.09454346,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.09454346 40.62472916 0)
44,151.202.168.8 ,40.63272858,-74.09506989,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.09506989 40.63272858 0)
45,151.202.172.118 ,40.60741043,-74.09973145,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.09973145 40.60741043 0)
46,151.202.177.69 ,40.63272858,-74.09506989,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.09506989 40.63272858 0)
47,151.202.27.29 ,40.63069153,-74.08849335,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.08849335 40.63069153 0)
48,151.202.31.25 ,40.63341904,-74.10526276,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.10526276 40.63341904 0)
49,151.202.46.230 ,40.6262207,-74.10137939,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.10137939 40.6262207 0)
50,151.202.47.57 ,40.61191177,-74.10652161,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.10652161 40.61191177 0)
51,151.202.47.59 ,40.61191177,-74.10652161,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.10652161 40.61191177 0)
52,151.205.183.49 ,40.60942841,-74.09980774,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.09980774 40.60942841 0)
53,162.83.137.190 ,40.63272858,-74.09506989,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.09506989 40.63272858 0)
54,162.84.146.147 ,40.61566162,-74.10437012,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.10437012 40.61566162 0)
