,the_geom,CTLabel,BoroCode,BoroName,CT2020,BoroCT2020,CDEligibil,NTAName,NTA2020,CDTA2020,CDTANAME,GEOID,Shape_Leng,Shape_Area,n_cameras_median,attached_street_median,attached_building_median,attached_unknown_median,hikvision_camera_count,tot_camera_count
293,"MULTIPOLYGON (((-73.92809775578407 40.671321847764816, -73.92811302567215 40.671157015889364, -73.92813807623422 40.67088661504033, -73.9281803582494 40.67043019976716, -73.92826115453283 40.6695876743698, -73.92832954926483 40.668861037105934, -73.92834967165896 40.66864719469075, -73.93111937820875 40.66879854259181, -73.93109989344629 40.66901090860276, -73.9310332197868 40.66973779226721, -73.93095112990471 40.67058280508022, -73.93086761900626 40.67147386930766, -73.93073751211597 40.67146673042227, -73.93063229166195 40.67146095616982, -73.93053409076094 40.67145556768829, -73.93045158630785 40.671451039989506, -73.9291556205578 40.67137991602082, -73.92907184593513 40.67137531853393, -73.92898295426087 40.67137043889355, -73.92889359243023 40.67136553476985, -73.92873621139138 40.67135689564643, -73.92866873010708 40.67135319233712, -73.92851293607966 40.671344640001536, -73.92844696872987 40.67134101875386, -73.92809775578407 40.671321847764816)))",349.01,3,Brooklyn,34901,3034901,,Crown Heights (North),BK0802,BK08,BK08 Crown Heights (North) (CD 8 Approximation),36047034901,3494.82880091,752964.123749,5.0,3.0,1.0,0.0,4,9.0
294,"MULTIPOLYGON (((-73.92834967165896 40.66864719469075, -73.9283599500501 40.66851520247119, -73.92836987507371 40.66843482019705, -73.92844239740998 40.66767220954508, -73.92852469750416 40.66686656004797, -73.92859855448165 40.665970538898776, -73.9286840449078 40.665086023274284, -73.92930683914166 40.66511700701162, -73.93145550047777 40.66523381758503, -73.93138143802425 40.666125796876756, -73.93129054897564 40.66701531822817, -73.93121322198114 40.66782448419675, -73.93113954589 40.668589265861286, -73.9311320752713 40.66866678109169, -73.93111937820875 40.66879854259181, -73.92834967165896 40.66864719469075)))",349.02,3,Brooklyn,34902,3034902,,Crown Heights (South),BK0901,BK09,BK09 Crown Heights (South) (CD 9 Approximation),36047034902,4143.94997378,1003908.52783,21.0,3.0,19.0,0.0,7,28.0
295,"MULTIPOLYGON (((-73.97659181784732 40.57530307808546, -73.97668422819271 40.57531216793194, -73.97786798835908 40.57543046483546, -73.97877963922888 40.575496043392704, -73.9796385035356 40.575536730754344, -73.98064359590612 40.57555270136132, -73.98121812593413 40.57556893183126, -73.98156367397989 40.576981820497444, -73.98193839612283 40.57919970892148, -73.98138136398141 40.57924625869625, -73.97961058513847 40.57944363162737, -73.97875740867899 40.57953694525244, -73.9778469576346 40.579636609976916, -73.97710904115476 40.57971288388596, -73.9762772149461 40.57982043775569, -73.97621147435825 40.57982711428402, -73.9762175960011 40.57974963468204, -73.97626012872898 40.57921097760125, -73.97629692166295 40.5788005021305, -73.97635947688703 40.57810209883882, -73.97641099148247 40.577527815808565, -73.9764427690579 40.57717787581738, -73.97648485409952 40.57672525874484, -73.97655869698006 40.5759388222673, -73.97658382019384 40.57540714244999, -73.97659181784732 40.57530307808546)))",350.0,3,Brooklyn,35000,3035000,,Coney Island-Sea Gate,BK1302,BK13,BK13 Coney Island-Brighton Beach (CD 13 Approximation),36047035000,5887.3393625,2123245.44497,4.0,2.0,2.0,0.0,3,7.0
296,"MULTIPOLYGON (((-73.93086761900626 40.67147386930766, -73.93095112990471 40.67058280508022, -73.9310332197868 40.66973779226721, -73.93109989344629 40.66901090860276, -73.93111937820875 40.66879854259181, -73.93388773611802 40.668950445559624, -73.93386776665034 40.669160344232985, -73.93379830527232 40.66989047824346, -73.93372501109343 40.67073377218849, -73.93363490519037 40.67162643414374, -73.93086761900626 40.67147386930766)))",351.01,3,Brooklyn,35101,3035101,,Crown Heights (North),BK0802,BK08,BK08 Crown Heights (North) (CD 8 Approximation),36047035101,3494.27993704,752633.338306,7.0,2.0,3.0,0.0,5,12.0
297,"MULTIPOLYGON (((-73.93111937820875 40.66879854259181, -73.9311320752713 40.66866678109169, -73.93113954589 40.668589265861286, -73.93121322198114 40.66782448419675, -73.93129054897564 40.66701531822817, -73.93138143802425 40.666125796876756, -73.93145550047777 40.66523381758503, -73.93422426336014 40.665377742533806, -73.93418045766155 40.66583507996977, -73.93413821742858 40.666276110416845, -73.93409834131761 40.666717133971225, -73.93405761549597 40.66716744039685, -73.93398168234137 40.66797584372346, -73.93390843280655 40.66873569283843, -73.93390024426729 40.668820660480634, -73.93388773611802 40.668950445559624, -73.93111937820875 40.66879854259181)))",351.02,3,Brooklyn,35102,3035102,,Crown Heights (South),BK0901,BK09,BK09 Crown Heights (South) (CD 9 Approximation),36047035102,4146.94842826,1002516.39342,1.0,1.0,0.0,0.0,3,4.0
298,"MULTIPOLYGON (((-73.96888995877943 40.57526123899415, -73.96883249994832 40.575241501507534, -73.96853345861918 40.575138759896426, -73.96840165964264 40.575085368074625, -73.96825878817545 40.575045489493434, -73.96810857702921 40.57502089945344, -73.96795533369406 40.57501255371087, -73.96780353615728 40.57502045367633, -73.96765743523478 40.57504368249044, -73.9675670729142 40.57488152694914, -73.96675354107138 40.57483291839351, -73.96641923661153 40.57481347193834, -73.96608438862998 40.57480056184844, -73.96574921686354 40.57479419659578, -73.96541394142787 40.574794380559766, -73.96507878217996 40.574801113411, -73.96474395906034 40.57481439073119, -73.96286117998778 40.57498014075899, -73.96103342769747 40.57507632436145, -73.95941778288545 40.57517798313923, -73.95939182247403 40.57391210975241, -73.95982864911241 40.57392930963574, -73.96021532299316 40.57391117912096, -73.9604890840351 40.57388518154405, -73.96068755363636 40.57387742198224, -73.96081416941394 40.57386180993878, -73.96090885893598 40.57386502894641, -73.96210769550761 40.57371352001858, -73.96267607127348 40.57366693903907, -73.96305899786316 40.57363555351802, -73.96398292380053 40.57355757173268, -73.96453618454454 40.57351319942498, -73.965084785767 40.57346919863797, -73.96602239542979 40.573388594832615, -73.96720294103956 40.573326317397466, -73.96738975478877 40.57325899990449, -73.9674356779313 40.57320896967133, -73.96736390080571 40.57304456895222, -73.96739472238792 40.572995002688366, -73.96742628474541 40.57298510896926, -73.96744946374336 40.573008064913, -73.96753149753702 40.57319073238467, -73.96762388104109 40.57319858543998, -73.96779155223932 40.57318819631825, -73.96818506098592 40.57317786854621, -73.96839037828883 40.57315444294011, -73.96856335985478 40.573125946551905, -73.96884893944627 40.57305802794767, -73.96897214113856 40.57302153230477, -73.96906454391238 40.57298763751293, -73.96920229198784 40.57295741851665, -73.96945126202374 40.57285728036321, -73.96946838633161 40.57282336570554, -73.96921197952125 40.572335376423496, -73.96924621215567 40.57230407565456, -73.96928385228028 40.572301476451926, -73.9695589515174 40.57280858046075, -73.96975580336883 40.572846924690374, -73.96996110201728 40.572860024587484, -73.97021089387857 40.57285226198181, -73.97085363074373 40.572770515279885, -73.97108691689405 40.572727244215635, -73.97132989626341 40.57264381038407, -73.97135044587515 40.572599459542744, -73.97137785791334 40.5725107530989, -73.97114248794544 40.57205063101202, -73.97115394572539 40.57199963704645, -73.97113515153808 40.571960152135894, -73.97118306355719 40.571941899084194, -73.9712206941635 40.57196278220166, -73.9714565707675 40.572479462243365, -73.97151790920266 40.572581681901866, -73.9716070645239 40.57262822391987, -73.97183632056797 40.5726282803543, -73.97249673747082 40.572576256747446, -73.97293476162717 40.57247460214531, -73.97314693344359 40.572414639995294, -73.9733450222981 40.57232121400614, -73.97336256224084 40.57226335704354, -73.97323268078631 40.571905865967004, -73.97321224564611 40.57166842470275, -73.97324990115143 40.57162668610905, -73.97329095478173 40.571642350296564, -73.97332515756248 40.57167627862984, -73.97334306976647 40.57174057042447, -73.97334904033113 40.57185109962229, -73.97336611476469 40.571937208093225, -73.97339000577036 40.57208854678848, -73.97342758666764 40.57223467076786, -73.97344805325683 40.57227210696938, -73.9737320997119 40.57228692509401, -73.97400678258742 40.57227436254655, -73.97440961940832 40.57223750300223, -73.97484762696561 40.572164541765886, -73.975285649671 40.57204983266857, -73.97547081902785 40.57196900381696, -73.97540561020006 40.57150453486906, -73.97540564094218 40.571421040640544, -73.97545696559193 40.571421051617605, -73.97548432668461 40.57145497784653, -73.9755088303411 40.57152449244056, -73.97551718820384 40.57169431528039, -73.97560269948818 40.57185928310361, -73.97567918029264 40.57195598449735, -73.9759255209153 40.572018657437575, -73.97621978857084 40.57201611012744, -73.97684256247986 40.57194839843275, -73.97685354613593 40.571946338189704, -73.97699449049826 40.57192467764648, -73.97713364145218 40.57189708671762, -73.97727057020663 40.57186365042458, -73.9774048548199 40.571824471801065, -73.97753608150029 40.571779671575506, -73.97766384588142 40.571729387799124, -73.97756820091209 40.571246666659135, -73.97759877204504 40.57119103051837, -73.97767087523825 40.571171020079106, -73.97804724933889 40.57119979395954, -73.97807599798224 40.57122957012872, -73.9777153307247 40.57125191434485, -73.97769819728073 40.57132496832955, -73.97770502384303 40.57137715394963, -73.97773918874078 40.57153371211856, -73.97775127949761 40.5716802897826, -73.97776503791475 40.57170769409882, -73.97778407952242 40.571733193770505, -73.97780796518913 40.57175620072464, -73.97783614406804 40.57177618437469, -73.97788258903337 40.57179554497774, -73.977930801936 40.5718122040365, -73.97799924493025 40.57183047679822, -73.97806978098814 40.5718433122486, -73.97819660524193 40.57186619222212, -73.97832516078633 40.57188251422412, -73.97845486511191 40.57189220429645, -73.97858513050295 40.57189521853145, -73.97871536670084 40.57189154327105, -73.97884498357935 40.57188119516859, -73.97897339381899 40.57186422111333, -73.97910001556893 40.571840698018015, -73.97945681046664 40.571742767958405, -73.97952183045096 40.5717140787342, -73.97976481057282 40.57158627108614, -73.97984694469407 40.571539319610174, -73.97986064824696 40.57148192001051, -73.97980592543593 40.57140363404606, -73.97972382225466 40.571346217412376, -73.97966565809052 40.5713331610994, -73.97946721065136 40.57129920608367, -73.97944552606329 40.571293345403625, -73.9794252416215 40.57128506789555, -73.97940681742276 40.57127456131221, -73.97939067136872 40.571262063966735, -73.97944328367619 40.57122092594807, -73.97958357114784 40.571226168843594, -73.9797546474568 40.57124968258203, -73.9799598892665 40.57144019050053, -73.97998743713069 40.571583605823605, -73.9800077157223 40.571698509688595, -73.98010351551899 40.57172722648452, -73.98032592226026 40.571737702218606, -73.9806489086184 40.571737732956734, -73.9810444940945 40.57168042036592, -73.98133877923644 40.571610020348146, -73.98163648890629 40.57152657358951, -73.98184180651346 40.57146920355473, -73.98204075852516 40.5714803705225, -73.9820368507678 40.57143792428009, -73.98201633411749 40.57138834604927, -73.98199239133083 40.57135181330925, -73.98192054501712 40.5713204925867, -73.98169656909482 40.57131137182068, -73.98159891057541 40.57130739548418, -73.98155785470242 40.57129434286853, -73.9815441742737 40.57127346698701, -73.98157155423429 40.57124998842485, -73.98194794042385 40.571237002157524, -73.9820266291875 40.57127615208913, -73.98209504346238 40.5713466114785, -73.98214632133065 40.57152143608211, -73.98217710691097 40.57156057845454, -73.98225580253013 40.57156841828968, -73.98249190051152 40.57156584591301, -73.98282723201832 40.57154241357458, -73.9830804449657 40.57150853143341, -73.98367270153263 40.571407057687416, -73.98340440737677 40.570165544510786, -73.98305809245096 40.57020965626853, -73.98304328883712 40.57014586098798, -73.98339168436654 40.5700946845169, -73.9832699667533 40.569541893853724, -73.98336058039285 40.56952999398417, -73.9834852186614 40.57008901506279, -73.98382125394902 40.57004578948178, -73.9838394948926 40.57011246715796, -73.98348842146684 40.57015603004653, -73.98375790448652 40.57139622725096, -73.985729317548 40.57119588998154, -73.98593538175733 40.57117818892242, -73.98645087588854 40.5711489089104, -73.98646799852716 40.571078462725154, -73.98650905821354 40.57108107682801, -73.98654668594101 40.571133264865836, -73.98686148425027 40.571107209238086, -73.9872686683531 40.57107594447705, -73.98752187630419 40.57104727092358, -73.98777508425758 40.57101859681194, -73.98803716678536 40.57098510876873, -73.9886202548146 40.57089605131417, -73.98857772038873 40.57069790950498, -73.9886339755543 40.5706951444804, -73.98866476412265 40.57072906724009, -73.9886955452091 40.57081517428702, -73.98872145848829 40.57088369208266, -73.9888358220813 40.57087780855794, -73.98892820617885 40.57087520822588, -73.98914719716015 40.570843919183126, -73.98935934175846 40.57083089299775, -73.98964657530452 40.57079215540965, -73.98993761163382 40.57075788712601, -73.99014629531213 40.57072607978644, -73.99026267527438 40.57070834011726, -73.99052614849926 40.570658787125474, -73.99077310323918 40.57059942234042, -73.9907417467296 40.570403103606964, -73.99071781592738 40.57025959565112, -73.99079264766944 40.57024864875555, -73.99082728598108 40.57042137437878, -73.99086374684873 40.57060201624241, -73.99119337523616 40.57061187496824, -73.99156291512737 40.570577983489216, -73.9918913975633 40.570533649998865, -73.9922061931928 40.570499752070354, -73.99229545219583 40.57049106967159, -73.99252782858777 40.57046846400292, -73.99272854897072 40.57043378803744, -73.99296923014852 40.570366732042295, -73.99294529319602 40.57023627108537, -73.99298098072167 40.57019677330919, -73.99301372686763 40.57021279297832, -73.993027407132 40.570278022968154, -73.99305289944269 40.57033902555887, -73.9931574188674 40.57037978943887, -73.9932977052498 40.570382407485745, -73.99362618034414 40.57039286310776, -73.99367509747081 40.570395135670125, -73.994019665383 40.57041114867888, -73.99440631046578 40.57039029447158, -73.99468360322808 40.57036133791847, -73.99480664237873 40.570364221202894, -73.99493763229947 40.57035467451241, -73.99513854436805 40.57031466120671, -73.99515224064966 40.57017898274346, -73.99513514004279 40.570066787109376, -73.99518726085735 40.570021877633145, -73.99524805213267 40.57009810177868, -73.99526172926925 40.57022856233698, -73.99529301203256 40.57032128321644, -73.99551492045951 40.570353814113886, -73.99576469677099 40.57039296185991, -73.99600078794124 40.57039297032189, -73.99640796358759 40.570374718693614, -73.99665089870697 40.57037211675974, -73.99684901717636 40.570366965468864, -73.99699640776534 40.570362691381405, -73.99704438661124 40.57035647342452, -73.99719493825842 40.57034864904384, -73.99731811772288 40.57032256042303, -73.99735575750898 40.570278204147954, -73.99735576071082 40.570197319683224, -73.997369448826 40.5701373075429, -73.99741966158952 40.57014085444586, -73.99744814048582 40.57028603439308, -73.99751999355456 40.57032517356221, -73.99766712135202 40.57037475116619, -73.99784504412395 40.57041389340953, -73.9979955952131 40.57044781585317, -73.99818720620962 40.57046086506928, -73.99829669781623 40.570473912274835, -73.99846777900159 40.570497396973, -73.9986324281594 40.57050800669028, -73.9989912881183 40.57048957578006, -73.99922738028933 40.57048957761061, -73.99961402575246 40.5704660966015, -73.99964139901624 40.57044522300474, -73.99965850686432 40.5703826025028, -73.99970321419985 40.570386497522684, -73.99973291179317 40.57041151160769, -73.99972950792682 40.570450441122894, -73.99971929823447 40.570473797740064, -73.99974852156545 40.57049579745959, -73.99995431840834 40.57050715669724, -74.00016054084665 40.57051235964839, -74.00036687228126 40.57051139832532, -74.00057299594573 40.57050427420389, -74.00077859539269 40.570490998221246, -74.00092571258244 40.570468777324564, -74.00107095885899 40.570440284680224, -74.0012138747982 40.57040561041292, -74.00135400834893 40.57036486420018, -74.00190572309054 40.57023940551572, -74.00205199994296 40.570623000546, -74.00220600024885 40.57175599979499, -74.00236551147101 40.57231748757408, -74.00123643108087 40.57205573160542, -74.0000886887568 40.571809724224224, -73.99899409486129 40.5716900040542, -73.99780217319667 40.571548092055515, -73.99754819956293 40.57151522944938, -73.99729310585677 40.57148787325427, -73.99703709732772 40.571466045481, -73.99678037996068 40.57144976369218, -73.99652316031033 40.57143904098814, -73.99626564533513 40.571433885996356, -73.99600804234485 40.57143430290574, -73.99575055849377 40.57144029133724, -73.99549340095271 40.57145184647248, -73.99523677663022 40.57146895901425, -73.99498089200618 40.57149161519379, -73.9947259529659 40.57151979678196, -73.99357745486046 40.57161690446448, -73.99247450755365 40.57156138303483, -73.99138759305158 40.571656527822704, -73.99160807535466 40.57275550296415, -73.99162581391744 40.57284391329567, -73.99164614602572 40.57294525240377, -73.99166330042523 40.573030755377495, -73.99174340405398 40.57343001107267, -73.99094831543192 40.57364650523814, -73.99086419687754 40.57366941008839, -73.99071712186526 40.573709455953995, -73.98992499125329 40.57393637131521, -73.98982121767227 40.57396609765682, -73.98968697877928 40.57400455147348, -73.98871454340843 40.574286512801436, -73.9886863897681 40.57429467743252, -73.98763474335165 40.57459428191174, -73.98702986347766 40.57477027954194, -73.9869396371495 40.57479653158493, -73.98660774857026 40.574893096265065, -73.98572242289752 40.575116805919244, -73.98557308976756 40.57514996196313, -73.98451903070435 40.57530375172679, -73.98342313407967 40.575414786995616, -73.9829171162472 40.575469095127374, -73.98239606544274 40.57551347511601, -73.98173292971265 40.57554991480144, -73.98121812593413 40.57556893183126, -73.98064359590612 40.57555270136132, -73.9796385035356 40.575536730754344, -73.97877963922888 40.575496043392704, -73.97786798835908 40.57543046483546, -73.97668422819271 40.57531216793194, -73.97659181784732 40.57530307808546, -73.9765254946986 40.575296555024764, -73.9760225251309 40.575227235018474, -73.97552081768926 40.57515278907214, -73.97502046225368 40.57507323052311, -73.97452154829875 40.57498857308278, -73.97402416537395 40.57489883245764, -73.9735284025815 40.57480402472506, -73.97329388465316 40.57526526436981, -73.97302844431657 40.57605005491313, -73.97078155975815 40.5757876055127, -73.96992014801832 40.575582621400095, -73.96903779875286 40.57530861859345, -73.96894589458462 40.575278688089426, -73.96888995877943 40.57526123899415)))",352.0,3,Brooklyn,35200,3035200,,Coney Island-Sea Gate,BK1302,BK13,BK13 Coney Island-Brighton Beach (CD 13 Approximation),36047035200,32547.3507287,10654155.4191,19.0,4.0,10.0,0.0,0,19.0
299,"MULTIPOLYGON (((-73.93363490519037 40.67162643414374, -73.93372501109343 40.67073377218849, -73.93379830527232 40.66989047824346, -73.93386776665034 40.669160344232985, -73.93388773611802 40.668950445559624, -73.93665702045566 40.66910057077803, -73.93663763987821 40.669308354035095, -73.93656930653971 40.67004084039153, -73.93648952229532 40.670885642580956, -73.93640533019015 40.671774306017355, -73.93363490519037 40.67162643414374)))",353.01,3,Brooklyn,35301,3035301,,Crown Heights (North),BK0802,BK08,BK08 Crown Heights (North) (CD 8 Approximation),36047035301,3494.65256069,752264.887949,3.0,2.0,1.0,0.0,6,9.0
300,"MULTIPOLYGON (((-73.93388773611802 40.668950445559624, -73.93390024426729 40.668820660480634, -73.93390843280655 40.66873569283843, -73.93398168234137 40.66797584372346, -73.93405761549597 40.66716744039685, -73.93409834131761 40.666717133971225, -73.93413821742858 40.666276110416845, -73.93418045766155 40.66583507996977, -73.93422426336014 40.665377742533806, -73.93698362372594 40.66553550787817, -73.93694519330045 40.66598129656229, -73.93690681057177 40.666426590023875, -73.93686689649722 40.66686211673369, -73.93682521755494 40.6673169935931, -73.93674947013362 40.66812737128953, -73.93667717358925 40.66888841110319, -73.93666958901093 40.66896825643494, -73.93665702045566 40.66910057077803, -73.93388773611802 40.668950445559624)))",353.02,3,Brooklyn,35302,3035302,,Crown Heights (South),BK0901,BK09,BK09 Crown Heights (South) (CD 9 Approximation),36047035302,4144.83604049,1003190.91234,6.0,2.0,4.0,0.0,3,9.0
301,"MULTIPOLYGON (((-73.93422426336014 40.665377742533806, -73.93145550047777 40.66523381758503, -73.92930683914166 40.66511700701162, -73.9286840449078 40.665086023274284, -73.92869200628128 40.6649622973766, -73.92872204594605 40.6644955696853, -73.92905235465467 40.66435100704261, -73.92916752203725 40.66429953215195, -73.92940352843385 40.66419984576795, -73.92987364827336 40.6639907725283, -73.93068465493135 40.66362047627024, -73.9316074333503 40.663556723298434, -73.93237940108233 40.66349778931, -73.93437459333367 40.66337281063911, -73.9345523668218 40.66336228578344, -73.93726377502682 40.6631918332909, -73.93722002610721 40.663424807754716, -73.93715847223591 40.66375259953473, -73.93707476738737 40.6646442183225, -73.93702877785454 40.6650939378434, -73.93698362372594 40.66553550787817, -73.93422426336014 40.665377742533806)))",355.0,3,Brooklyn,35500,3035500,,Crown Heights (South),BK0901,BK09,BK09 Crown Heights (South) (CD 9 Approximation),36047035500,5844.44173041,1485518.38102,6.0,0.0,5.0,0.0,9,15.0
302,"MULTIPOLYGON (((-73.96733404016216 40.581517522296004, -73.96758713735443 40.58042905913974, -73.967598677532 40.5803784706759, -73.96778898583783 40.58034021723792, -73.96788580757035 40.580320755137784, -73.96911781831379 40.58008278861315, -73.97042714047183 40.57983473112948, -73.97060136508972 40.57981312972716, -73.9707765447872 40.579796618705835, -73.97095242383462 40.579785222168475, -73.97112874548182 40.5797789567519, -73.97130525226288 40.57977783183021, -73.97148168656976 40.57978184882921, -73.97165779084081 40.57979100188484, -73.97183330799594 40.579805277635316, -73.97181557958793 40.579861411573916, -73.97113424588218 40.58201882570572, -73.97033590944382 40.58191436929277, -73.96838768870549 40.581659420795155, -73.96759899321236 40.58155620297412, -73.96751548657997 40.58154401223295, -73.96733404016216 40.581517522296004)))",356.01,3,Brooklyn,35601,3035601,,Coney Island-Sea Gate,BK1302,BK13,BK13 Coney Island-Brighton Beach (CD 13 Approximation),36047035601,3524.79850124,719519.891858,1.0,0.0,0.0,0.0,3,4.0
303,"MULTIPOLYGON (((-73.96804463332826 40.57843983979063, -73.96834847522267 40.57711237005525, -73.96852475501841 40.576340380995624, -73.96853234187864 40.576305031161844, -73.96854635420192 40.57624267196689, -73.96865108864597 40.57576305434598, -73.96866614128525 40.575696968555334, -73.9686811954325 40.57563088326532, -73.96873173299474 40.57550141027252, -73.96880187120078 40.5753773636689, -73.96883335365193 40.575335858730256, -73.96888995877943 40.57526123899415, -73.96894589458462 40.575278688089426, -73.96903779875286 40.57530861859345, -73.96992014801832 40.575582621400095, -73.97078155975815 40.5757876055127, -73.97302844431657 40.57605005491313, -73.97285105587505 40.576597864309186, -73.97281645581695 40.57670472186407, -73.97279175260765 40.5767826381807, -73.97247338057971 40.577776589104566, -73.97225848751698 40.57846442238759, -73.9721460799842 40.57881892376402, -73.97212396926741 40.57888835099453, -73.97185416001396 40.57973757169089, -73.97183330799594 40.579805277635316, -73.97165779084081 40.57979100188484, -73.97148168656976 40.57978184882921, -73.97130525226288 40.57977783183021, -73.97112874548182 40.5797789567519, -73.97095242383462 40.579785222168475, -73.9707765447872 40.57979661870582, -73.97060136508972 40.57981312972716, -73.97042714047183 40.57983473112948, -73.96911781831379 40.58008278861315, -73.96788580757035 40.580320755137784, -73.96778898583783 40.58034021723792, -73.967598677532 40.5803784706759, -73.96761555684284 40.58030516337023, -73.96774197943326 40.57975559557287, -73.96792590661559 40.578956042617754, -73.96804463332826 40.57843983979063)))",356.02,3,Brooklyn,35602,3035602,,Coney Island-Sea Gate,BK1302,BK13,BK13 Coney Island-Brighton Beach (CD 13 Approximation),36047035602,5704.67059813,1843967.13789,4.0,0.0,4.0,0.0,3,7.0
304,"MULTIPOLYGON (((-73.92532872177273 40.67116871653144, -73.92541347590581 40.670278854876784, -73.92549121133692 40.6694343120316, -73.92557349221123 40.668711331444875, -73.92560682540764 40.668505252077345, -73.92834967165896 40.66864719469075, -73.92832954926483 40.668861037105934, -73.92826115453283 40.6695876743698, -73.9281803582494 40.67043019976716, -73.92813807623422 40.67088661504033, -73.92811302567215 40.671157015889364, -73.92809775578407 40.671321847764816, -73.92671853112168 40.6712455834235, -73.92660166660735 40.67123912075136, -73.92645348053517 40.671230926309185, -73.92635615424152 40.671225543531484, -73.92623885945407 40.67121905659388, -73.92612419317145 40.67121271563359, -73.92597215018863 40.67120430667443, -73.92587478723144 40.67119892078539, -73.92532872177273 40.67116871653144)))",357.01,3,Brooklyn,35701,3035701,,Crown Heights (North),BK0802,BK08,BK08 Crown Heights (North) (CD 8 Approximation),36047035701,3483.29842965,750004.902643,0.0,0.0,0.0,0.0,6,6.0
305,"MULTIPOLYGON (((-73.92560682540764 40.668505252077345, -73.92552759773494 40.66849968981726, -73.92540054294166 40.66835107335996, -73.92532741005691 40.66827050561079, -73.9251673969913 40.668126784439444, -73.92502205307336 40.66797321224313, -73.9248928902401 40.6678111245919, -73.92478109698001 40.66764204397345, -73.92468755711592 40.66746761145059, -73.9242446720856 40.66644500038628, -73.92439099384752 40.66638142327786, -73.92546270195405 40.66591675199162, -73.9259220148363 40.665715035201096, -73.92637970483221 40.66551489264379, -73.92739350021706 40.665074716154145, -73.92771188941798 40.66493432799174, -73.92822872379762 40.664709865186325, -73.92872204594605 40.6644955696853, -73.92869200628128 40.6649622973766, -73.9286840449078 40.665086023274284, -73.92859855448165 40.665970538898776, -73.92852469750416 40.66686656004797, -73.92844239740998 40.66767220954508, -73.92836987507371 40.66843482019705, -73.9283599500501 40.66851520247119, -73.92834967165896 40.66864719469075, -73.92560682540764 40.668505252077345)))",357.02,3,Brooklyn,35702,3035702,,Lincoln Terrace Park,BK0891,BK08,BK08 Crown Heights (North) (CD 8 Approximation),36047035702,4568.61693775,1214617.17463,6.0,1.0,5.0,0.0,4,10.0
306,"MULTIPOLYGON (((-73.92213153379178 40.67368388950966, -73.9222144432103 40.67279163355226, -73.92229950301105 40.67190026210041, -73.92238401788495 40.671008763473324, -73.92245355442307 40.67026114885387, -73.9224669682933 40.670116930255794, -73.92254432235555 40.66927581069471, -73.92261354322443 40.66856410724221, -73.92263210700678 40.66837321106417, -73.92265529979278 40.66812711501359, -73.92272714175243 40.667365056426426, -73.92275257220436 40.667097332962115, -73.9228110659905 40.66707176071378, -73.92303439380227 40.6669741259334, -73.92311978521666 40.66693679363243, -73.92323224603328 40.66688762806995, -73.9233103976441 40.666853460425365, -73.9242446720856 40.66644500038628, -73.92468755711592 40.66746761145059, -73.92478109698001 40.66764204397345, -73.9248928902401 40.6678111245919, -73.92502205307336 40.66797321224313, -73.9251673969913 40.668126784439444, -73.92532741005691 40.66827050561079, -73.92540054294166 40.66835107335996, -73.92552759773494 40.66849968981726, -73.92560682540764 40.668505252077345, -73.92557349221123 40.668711331444875, -73.92549121133692 40.6694343120316, -73.92541347590581 40.670278854876784, -73.92532872177273 40.67116871653144, -73.92531132137145 40.67135569702945, -73.92530590514916 40.67141390912216, -73.92530026910906 40.67147448053438, -73.9252948775972 40.6715324187337, -73.92524559322067 40.6720620457412, -73.92516155438302 40.672953601089674, -73.9251215385384 40.673398960603656, -73.92508152301917 40.673844338173474, -73.92336008453272 40.673750719084595, -73.92324436873267 40.67374442565554, -73.92309797315002 40.673736462965785, -73.92298622413946 40.67373038435376, -73.92213153379178 40.67368388950966)))",359.0,3,Brooklyn,35900,3035900,,Crown Heights (North),BK0802,BK08,BK08 Crown Heights (North) (CD 8 Approximation),36047035900,6513.25352444,1955169.23252,23.0,1.0,20.0,0.0,6,29.0
