,PanoramaId,n_cameras_median,attached_street_median,attached_building_median,attached_unknown_median,type_dome_median,type_bullet_median,type_unknown_median,n_cameras_agreement,attached_street_agreement,attached_building_agreement,attached_unknown_agreement,type_dome_agreement,type_bullet_agreement,type_unknown_agreement,Lat,Long,geometry_pano,BoroName,URL,ImageDate,geometry
13,-5Y0fSD1h3ZN9IsL5O57BA,0,0,0,0,0,0,0,2 vs 1,2 vs 1,2 vs 1,Unanimous,Unanimous,Unanimous,2 vs 1,40.63976156387372,-73.95222291368476,POINT (-73.95222291368476 40.63976156387372),Brooklyn,https://www.google.com/maps/@?api=1&map_action=pano&pano=-5Y0fSD1h3ZN9IsL5O57BA,2020-11,POINT (-73.95222291368476 40.63976156387372)
14,-5glHHIZAr0nK_XUS8isTw,0,0,0,0,0,0,0,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,40.68053031683477,-73.89231960679406,POINT (-73.89231960679406 40.68053031683477),Brooklyn,https://www.google.com/maps/@?api=1&map_action=pano&pano=-5glHHIZAr0nK_XUS8isTw,2014-10,POINT (-73.89231960679406 40.68053031683477)
15,-694MYTbjy9EXcMHPlP6lw,1,0,1,0,0,0,0,All disagree,Unanimous,All disagree,Unanimous,Unanimous,Unanimous,Unanimous,40.67575133866482,-73.95975884133387,POINT (-73.95975884133387 40.67575133866482),Brooklyn,https://www.google.com/maps/@?api=1&map_action=pano&pano=-694MYTbjy9EXcMHPlP6lw,2020-11,POINT (-73.95975884133387 40.67575133866482)
16,-6NYm7MpqO9KrU-FXFUDPw,0,0,0,0,0,0,0,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,40.66154125442547,-73.86001787902669,POINT (-73.86001787902669 40.66154125442547),Brooklyn,https://www.google.com/maps/@?api=1&map_action=pano&pano=-6NYm7MpqO9KrU-FXFUDPw,2020-11,POINT (-73.86001787902669 40.66154125442547)
17,-6QBJSg8W_SUpsIc7uakqg,0,0,0,0,0,0,0,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,40.5958758241554,-73.98408148736365,POINT (-73.98408148736365 40.5958758241554),Brooklyn,https://www.google.com/maps/@?api=1&map_action=pano&pano=-6QBJSg8W_SUpsIc7uakqg,2019-11,POINT (-73.98408148736365 40.5958758241554)
18,-7f8NCaeUJ3AADYtVrTqig,3,0,3,0,0,0,0,2 vs 1,Unanimous,2 vs 1,Unanimous,Unanimous,Unanimous,Unanimous,40.60466946536163,-73.96172015222537,POINT (-73.96172015222537 40.60466946536163),Brooklyn,https://www.google.com/maps/@?api=1&map_action=pano&pano=-7f8NCaeUJ3AADYtVrTqig,2018-06,POINT (-73.96172015222537 40.60466946536163)
19,-8EgNQHwRGe13hJP7AX6IQ,0,0,0,0,0,0,0,2 vs 1,Unanimous,2 vs 1,Unanimous,Unanimous,Unanimous,Unanimous,40.67912484825727,-74.00555416599762,POINT (-74.00555416599762 40.67912484825727),Brooklyn,https://www.google.com/maps/@?api=1&map_action=pano&pano=-8EgNQHwRGe13hJP7AX6IQ,2013-10,POINT (-74.00555416599762 40.67912484825727)
20,-9-U0xwXYBQIb4D83yaraA,2,0,2,0,0,0,0,2 vs 1,Unanimous,2 vs 1,Unanimous,Unanimous,Unanimous,Unanimous,40.71728715886098,-73.9540643981429,POINT (-73.9540643981429 40.71728715886098),Brooklyn,https://www.google.com/maps/@?api=1&map_action=pano&pano=-9-U0xwXYBQIb4D83yaraA,2020-11,POINT (-73.9540643981429 40.71728715886098)
21,-9LT1Y4p4FudwwYYWaPJgQ,1,0,0,0,0,0,0,2 vs 1,2 vs 1,Unanimous,2 vs 1,2 vs 1,Unanimous,Unanimous,40.57824226730043,-73.93974672873964,POINT (-73.93974672873964 40.57824226730043),Brooklyn,https://www.google.com/maps/@?api=1&map_action=pano&pano=-9LT1Y4p4FudwwYYWaPJgQ,2011-08,POINT (-73.93974672873964 40.57824226730043)
22,-9h4xD4UafKTMGDpl9hzGA,0,0,0,0,0,0,0,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,40.67139137345001,-73.99098891615802,POINT (-73.99098891615802 40.67139137345001),Brooklyn,https://www.google.com/maps/@?api=1&map_action=pano&pano=-9h4xD4UafKTMGDpl9hzGA,2013-01,POINT (-73.99098891615802 40.67139137345001)
